5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/css/admin.css.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8 HTTP/1.1" 200 264353
5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/css/hamburgers.css.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8 HTTP/1.1" 200 24721
5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/css/panel-rtl.css.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8 HTTP/1.1" 200 655
5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/css/login.css.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8 HTTP/1.1" 200 9656
5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/css/animate.css.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8 HTTP/1.1" 200 78897
5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/css/theme/teanow-prime-1/theme.css.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8 HTTP/1.1" 200 53430
5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/css/select2.css.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8 HTTP/1.1" 200 18114
5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/components.css.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8?ln=primefaces&v=8.0 HTTP/1.1" 200 96157
5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8?ln=primefaces&v=8.0 HTTP/1.1" 200 88237
5.114.19.128 - - [02/Oct/2024:13:03:21 +0330] "GET /javax.faces.resource/core.js.xhtml;jsessionid=133D5EC591ACFEC04CA1F2F3C664F3A8?ln=primefaces&v=8.0 HTTP/1.1" 200 43146
