91.229.215.156 - - [26/Aug/2024:08:29:50 +0330] "GET /javax.faces.resource/js/datepicker-fa.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:50 +0330] "GET /javax.faces.resource/js/pages/dashboards/dashboard1.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /admin/?page=21 HTTP/1.1" 200 94467
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/css/admin.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/css/panel-rtl.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/css/theme/teanow-prime-1/theme.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/fileupload/fileupload.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/components.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/font-awesome/css/fontawesome-all.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/simple-line-icons/css/simple-line-icons.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/themify-icons/themify-icons.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
