94.177.73.107 - - [03/Sep/2024:10:15:29 +0330] "GET /javax.faces.resource/unload.js.xhtml;jsessionid=5703B0727C709C6BFECE7C27638BF1C5?ln=omnifaces&v=3.2 HTTP/1.1" 200 2565
94.177.73.107 - - [03/Sep/2024:10:15:30 +0330] "GET /javax.faces.resource/components.js.xhtml;jsessionid=5703B0727C709C6BFECE7C27638BF1C5?ln=primefaces&v=8.0 HTTP/1.1" 200 435082
94.177.73.107 - - [03/Sep/2024:10:15:31 +0330] "GET /favicon.ico HTTP/1.1" 404 778
94.177.73.107 - - [03/Sep/2024:10:15:34 +0330] "POST /;jsessionid=5703B0727C709C6BFECE7C27638BF1C5 HTTP/1.1" 200 127
94.177.73.107 - - [03/Sep/2024:10:15:34 +0330] "POST /;jsessionid=5703B0727C709C6BFECE7C27638BF1C5 HTTP/1.1" 200 -
94.177.73.107 - - [03/Sep/2024:10:15:34 +0330] "GET /admin/ HTTP/1.1" 200 26876
94.177.73.107 - - [03/Sep/2024:10:18:26 +0330] "GET /admin/?page=33 HTTP/1.1" 200 92978
94.177.73.107 - - [03/Sep/2024:10:20:24 +0330] "POST /admin/?page=33 HTTP/1.1" 200 31122
94.177.73.107 - - [03/Sep/2024:10:20:26 +0330] "POST /admin/?page=33 HTTP/1.1" 200 31488
94.177.73.107 - - [03/Sep/2024:10:21:00 +0330] "GET /admin/?page=4 HTTP/1.1" 200 45912
94.177.73.107 - - [03/Sep/2024:10:21:04 +0330] "POST /admin/?page=33 HTTP/1.1" 200 47166
94.177.73.107 - - [03/Sep/2024:10:21:04 +0330] "POST /admin/?page=4 HTTP/1.1" 200 1556
94.177.73.107 - - [03/Sep/2024:10:21:18 +0330] "POST /admin/?page=33 HTTP/1.1" 200 47020
94.177.73.107 - - [03/Sep/2024:10:21:25 +0330] "POST /admin/?page=33 HTTP/1.1" 200 47431
94.177.73.107 - - [03/Sep/2024:10:21:30 +0330] "POST /admin/?page=33 HTTP/1.1" 200 31659
94.177.73.107 - - [03/Sep/2024:10:21:35 +0330] "POST /admin/?page=33 HTTP/1.1" 200 31717
