94.177.75.253 - - [05/Aug/2024:08:57:43 +0330] "GET /javax.faces.resource/css/select2.css.xhtml HTTP/1.1" 200 18114
94.177.75.253 - - [05/Aug/2024:08:57:43 +0330] "GET /javax.faces.resource/css/animate.css.xhtml HTTP/1.1" 200 78897
94.177.75.253 - - [05/Aug/2024:08:57:43 +0330] "GET /javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 88237
94.177.75.253 - - [05/Aug/2024:08:57:43 +0330] "GET /javax.faces.resource/components.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 96157
94.177.75.253 - - [05/Aug/2024:08:57:43 +0330] "GET /javax.faces.resource/core.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 43146
94.177.75.253 - - [05/Aug/2024:08:57:43 +0330] "GET /javax.faces.resource/css/admin.css.xhtml HTTP/1.1" 200 264353
94.177.75.253 - - [05/Aug/2024:08:57:44 +0330] "GET /javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 267621
94.177.75.253 - - [05/Aug/2024:08:57:44 +0330] "GET /javax.faces.resource/js/tilt.jquery.min.js.xhtml HTTP/1.1" 200 5640
94.177.75.253 - - [05/Aug/2024:08:57:44 +0330] "GET /javax.faces.resource/js/login.js.xhtml HTTP/1.1" 200 40319
94.177.75.253 - - [05/Aug/2024:08:57:44 +0330] "GET /javax.faces.resource/js/select2.js.xhtml HTTP/1.1" 200 169126
94.177.75.253 - - [05/Aug/2024:08:57:44 +0330] "GET /javax.faces.resource/components.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 435082
94.177.75.253 - - [05/Aug/2024:08:57:44 +0330] "GET /javax.faces.resource/unload.js.xhtml?ln=omnifaces&v=3.2 HTTP/1.1" 200 2565
94.177.75.253 - - [05/Aug/2024:08:57:44 +0330] "GET /javax.faces.resource/font-awesome/css/fontawesome-all.css.xhtml?ln=icons HTTP/1.1" 200 49130
94.177.75.253 - - [05/Aug/2024:08:57:44 +0330] "GET /javax.faces.resource/simple-line-icons/css/simple-line-icons.css.xhtml?ln=icons HTTP/1.1" 200 13067
