91.229.215.156 - - [22/Jul/2024:08:45:12 +0330] "GET /javax.faces.resource/js/datepicker-fa.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:20 +0330] "GET /admin/?page=11 HTTP/1.1" 200 66177
91.229.215.156 - - [22/Jul/2024:08:45:23 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:23 +0330] "GET /javax.faces.resource/css/admin.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:23 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:27 +0330] "GET /javax.faces.resource/css/panel-rtl.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:27 +0330] "GET /javax.faces.resource/css/theme/teanow-prime-1/theme.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:27 +0330] "GET /javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:30 +0330] "GET /javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:30 +0330] "GET /javax.faces.resource/js/ktskey.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:30 +0330] "GET /javax.faces.resource/libs/popper.js/dist/umd/popper.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:34 +0330] "GET /javax.faces.resource/libs/bootstrap/dist/js/bootstrap.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:34 +0330] "GET /javax.faces.resource/js/app-style-switcher.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:37 +0330] "GET /javax.faces.resource/js/feather.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:37 +0330] "GET /javax.faces.resource/libs/perfect-scrollbar/dist/perfect-scrollbar.jquery.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:41 +0330] "GET /javax.faces.resource/js/sidebarmenu.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:41 +0330] "GET /javax.faces.resource/js/custom.min.js.xhtml HTTP/1.1" 304 -
