185.224.128.84 - - [10/Sep/2024:07:38:27 +0330] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 404 805
178.215.236.52 - - [10/Sep/2024:07:59:59 +0330] "CONNECT 45.61.137.126:7227 HTTP/1.1" 400 811
13.83.43.77 - - [10/Sep/2024:08:21:58 +0330] "GET /actuator/health HTTP/1.1" 404 786
206.189.120.60 - - [10/Sep/2024:08:44:20 +0330] "-" 400 5201
154.213.187.186 - - [10/Sep/2024:08:55:48 +0330] "CONNECT google.com:443 HTTP/1.1" 400 811
141.98.11.91 - - [10/Sep/2024:09:13:49 +0330] "CONNECT google.com:443 HTTP/1.1" 400 811
154.213.184.25 - - [10/Sep/2024:09:15:19 +0330] "CONNECT google.com:443 HTTP/1.1" 400 811
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /admin/?page=211 HTTP/1.1" 302 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET / HTTP/1.1" 200 5293
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/css/admin.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/css/panel-rtl.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/css/theme/teanow-prime-1/theme.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/css/login.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/css/animate.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/css/hamburgers.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/components.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/css/select2.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/font-awesome/css/fontawesome-all.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/simple-line-icons/css/simple-line-icons.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/themify-icons/themify-icons.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/core.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/components.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/js/select2.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:06 +0330] "GET /javax.faces.resource/js/tilt.jquery.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:07 +0330] "GET /javax.faces.resource/unload.js.xhtml?ln=omnifaces&v=3.2 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:07 +0330] "GET /javax.faces.resource/js/login.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:07 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebboldfanum.woff.xhtml?ln=fonts HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:07 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebregularfanum.woff.xhtml?ln=fonts HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:07 +0330] "GET /javax.faces.resource/font-awesome/webfonts/fa-solid-900.woff2.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:09 +0330] "POST / HTTP/1.1" 200 127
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "POST / HTTP/1.1" 200 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /admin/ HTTP/1.1" 200 28263
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/css/admin.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/css/theme/teanow-prime-1/theme.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/css/panel-rtl.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/components.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
