94.177.73.18 - - [31/Jul/2024:09:26:20 +0330] "GET /javax.faces.resource/css/panel-rtl.css.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4 HTTP/1.1" 200 655
94.177.73.18 - - [31/Jul/2024:09:26:20 +0330] "GET /javax.faces.resource/css/hamburgers.css.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4 HTTP/1.1" 200 24721
94.177.73.18 - - [31/Jul/2024:09:26:20 +0330] "GET /javax.faces.resource/css/login.css.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4 HTTP/1.1" 200 9656
94.177.73.18 - - [31/Jul/2024:09:26:20 +0330] "GET /javax.faces.resource/css/select2.css.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4 HTTP/1.1" 200 18114
94.177.73.18 - - [31/Jul/2024:09:26:20 +0330] "GET /javax.faces.resource/css/theme/teanow-prime-1/theme.css.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4 HTTP/1.1" 200 53430
94.177.73.18 - - [31/Jul/2024:09:26:22 +0330] "GET /javax.faces.resource/css/animate.css.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4 HTTP/1.1" 200 78897
94.177.73.18 - - [31/Jul/2024:09:26:22 +0330] "GET /javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4?ln=primefaces&v=8.0 HTTP/1.1" 200 88237
94.177.73.18 - - [31/Jul/2024:09:26:23 +0330] "GET /javax.faces.resource/components.css.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4?ln=primefaces&v=8.0 HTTP/1.1" 200 96157
94.177.73.18 - - [31/Jul/2024:09:26:23 +0330] "GET /javax.faces.resource/core.js.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4?ln=primefaces&v=8.0 HTTP/1.1" 200 43146
94.177.73.18 - - [31/Jul/2024:09:26:24 +0330] "GET /javax.faces.resource/js/tilt.jquery.min.js.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4 HTTP/1.1" 200 5640
94.177.73.18 - - [31/Jul/2024:09:26:24 +0330] "GET /javax.faces.resource/js/login.js.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4 HTTP/1.1" 200 40319
94.177.73.18 - - [31/Jul/2024:09:26:25 +0330] "GET /javax.faces.resource/unload.js.xhtml;jsessionid=9CEEE5BF4EB7469B8D617450234F0BE4?ln=omnifaces&v=3.2 HTTP/1.1" 200 2565
