94.177.79.239 - - [24/Jul/2024:09:48:08 +0330] "POST /;jsessionid=33559FDDDCF58E8BDBD1D134FC22E0FC HTTP/1.1" 200 127
94.177.79.239 - - [24/Jul/2024:09:48:08 +0330] "POST /;jsessionid=33559FDDDCF58E8BDBD1D134FC22E0FC HTTP/1.1" 200 -
94.177.79.239 - - [24/Jul/2024:09:48:08 +0330] "GET /admin/ HTTP/1.1" 200 26877
94.177.79.239 - - [24/Jul/2024:09:48:11 +0330] "GET /admin/?page=11 HTTP/1.1" 200 65964
94.177.79.239 - - [24/Jul/2024:09:48:17 +0330] "POST /admin/?page=11 HTTP/1.1" 200 23308
94.177.79.239 - - [24/Jul/2024:09:48:18 +0330] "POST /admin/?page=11 HTTP/1.1" 200 23339
94.177.79.239 - - [24/Jul/2024:09:48:22 +0330] "POST /admin/?page=11 HTTP/1.1" 200 23402
94.177.79.239 - - [24/Jul/2024:09:48:23 +0330] "POST /admin/?page=11 HTTP/1.1" 200 23430
94.177.79.239 - - [24/Jul/2024:09:48:24 +0330] "POST /admin/?page=11 HTTP/1.1" 200 4960
94.177.79.239 - - [24/Jul/2024:09:48:33 +0330] "GET /javax.faces.resource/toggleswitch/toggleswitch.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 551
94.177.79.239 - - [24/Jul/2024:09:48:33 +0330] "GET /admin/?page=12&item=654e4c95be3bbc1637325e6b HTTP/1.1" 200 87079
94.177.79.239 - - [24/Jul/2024:09:48:33 +0330] "GET /javax.faces.resource/toggleswitch/toggleswitch.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 1107
94.177.79.239 - - [24/Jul/2024:09:48:37 +0330] "POST /admin/?page=12&item=654e4c95be3bbc1637325e6b HTTP/1.1" 200 7361
94.177.79.239 - - [24/Jul/2024:09:48:51 +0330] "GET /admin/?page=33 HTTP/1.1" 200 93012
94.177.79.239 - - [24/Jul/2024:09:49:40 +0330] "GET /admin/?page=34&item=66a08da79e54a493ab454588 HTTP/1.1" 200 38655
94.177.79.239 - - [24/Jul/2024:09:49:41 +0330] "GET /resources/images/background/chat.png HTTP/1.1" 404 815
94.177.79.239 - - [24/Jul/2024:09:49:41 +0330] "GET /resources/images/avatar.png HTTP/1.1" 404 802
